Collection Source Name,Color,Behr_ID,LRV,R,G,B,One_liner,Short_description,Undertone_raw,Undertone,Coordinated_Palette_1,Coordinated_Palette_2,Coordinated_Palette_3,Coordinated_Palette_URL,Trim_Crisp,Trim Crisp (Lower Case),Trim_Warm,Family,Temp,Undertone_notes,Hex,Saturation,Chroma,Style Tag 1,Style Tag 2,Style Tag 3,Style Tag 4,Style Tag 5,Risk_tags,URL,
BEHR® 2026 Color Trends Palette,Hidden Gem,N430-6A,14,89,109,105,Blue color family,Hidden Gem is a smoky jade that embodies an air of mystery and sophistication.,cool (green/gray),Cool-leaning with a green and gray undertone.,Garden Vista,Summer Dragonfly,Polar Bear,"https://www.behr.com/consumer/PaletteDetailView/N430-6A,N430-3,M440-4,75",FROST (57),frost (57),POLAR BEAR (75),Blue,Cool,"green, gray",#596D69,0.183,,Moody,Cool,Sophisticated,Bold,Dramatic,green_shift|shows_lap_marks_more|can_feel_cooler_at_night,https://www.behr.com/consumer/ColorDetailView/N430-6A,
BEHR® 2026 Color Trends Palette,Mocha Ice,N150-1,66,223,210,202,Neutral color family,Inspired by a delectable chilled latte,warm (taupe/pink),Warm-leaning taupe with pink and beige undertones.,Wind Speed,Natural Bark,Cameo Stone,"https://www.behr.com/consumer/PaletteDetailView/N150-1,S450-2,N170-6,N160-1",ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Neutral,Warm,"pink, beige, taupe",#DFD2CA,0.094,,Soft,Warm,Neutral,Classic,Cozy,pink_shift|can_go_peach_in_warm_light,,
BEHR® 2026 Color Trends Palette,Watery,HDC-CT-26,49,174,189,187,Gray color family,Watery is a chilled pale blue that creates an easy-going,cool (blue/green),Cool blue with dusty green and gray undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),POLAR BEAR (75),Gray,Cool,"green, gray, blue",#AEBDBB,0.079,,Airy,Cool,Fresh,Serene,Soft,green_shift|blue_shift|can_look_gray,,
BEHR® 2026 Color Trends Palette,Iced Copper,S200-3,46,208,174,154,Orange color family,Iced Copper blends an earthy richness with the softness of delicate pink.,warm (peach/tan),Warm earthy tan with peach and pink undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Orange,Warm,"peach, pink, tan",#D0AE9A,0.26,,Warm,Earthy,Sophisticated,Bold,Inviting,pink_shift|orange_shift|can_look_terracotta,https://www.behr.com/consumer/ColorDetailView/S200-3,
BEHR® 2026 Color Trends Palette,Dragonfly,PPU12-03,26,114,144,141,Blue color family,Dragonfly is a calm and versatile blue-green that works in every space.,cool (teal/gray),Cool teal with grounded gray undertones.,,,,,FROST (57),frost (57),POLAR BEAR (75),Blue,Cool,"green, blue, gray",#72908D,0.208,,Cool,Moody,Organic,Sophisticated,Modern,green_shift|shows_lap_marks_more,https://www.behr.com/consumer/ColorDetailView/PPU12-03,
BEHR® 2026 Color Trends Palette,Terra Cotta Urn,PPU2-12,22,166,104,87,Red color family,Terra Cotta Urn is a rich and earthy color that evokes the warmth of sun-baked clay.,warm (red/brown),Warm clay with red-orange and brown undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Red,Warm,"red, orange, brown",#A66857,0.476,,Warm,Earthy,Organic,Inviting,Bold,orange_shift|red_shift,https://www.behr.com/consumer/ColorDetailView/PPU2-12,
BEHR® 2026 Color Trends Palette,Wheat Bread,720C-3,56,205,196,183,Neutral color family,Wheat Bread is a greige with a gray undertone.,warm (greige),Warm greige with gentle taupe and gray undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),Neutral,Warm,"gray, beige, taupe",#CDC4B7,0.12,,Warm,Cozy,Earthy,Soft,Classic,gray_shift|beige_shift,https://www.behr.com/consumer/ColorDetailView/720C-3,
BEHR® 2026 Color Trends Palette,Dainty Lace,MQ3-11,85,244,242,233,White color family,Dainty Lace is a creamy white with subtle depth.,neutral (warm),Creamy white with faint gray and lavender undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),White,Warm,"yellow, gray, lavender",#F4F2E9,0.05,,Airy,Soft,Clean,Classic,Serene,yellow_shift|purple_shift|creamy,https://www.behr.com/consumer/ColorDetailView/MQ3-11,
BEHR® 2026 Color Trends Palette,Blank Canvas,DC-003,84,241,237,225,White color family,A delightfully warm white with a cozy pigment of yellow-pink.,warm (peach/beige),Warm off-white with peach and beige undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),SWISS COFFEE (12),White,Warm,"peach, beige, yellow",#F1EDE1,0.07,,Airy,Crisp,Clean,Neutral,Modern,yellow_shift|peach_shift|pink_shift,https://www.behr.com/consumer/ColorDetailView/DC-003,
BEHR® 2026 Color Trends Palette,Adirondack Blue,N480-5,23,83,99,111,Blue color family,Adirondack Blue is a slate blue with gray undertones.,cool (slate/gray),Slate blue with strong gray undertones.,,,,,ULTRA PURE WHITE® (UPW),ultra pure white® (upw),POLAR BEAR (75),Blue,Cool,"gray, blue, slate",#53636F,0.252,,Cool,Fresh,Calm,Classic,Clean,gray_shift|blue_shift,https://www.behr.com/consumer/ColorDetailView/N480-5,
